wav_file_path	model_no	image_file_path	label	score	start_time_sec	end_time_sec	start_time	end_time	min_frequency	max_frequency	box_x1	box_x2	box_y1	box_y2
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png	20Hz	0.31	272.1767333984375	274.9256896972656	2018-07-09 18:02:02	2018-07-09 18:02:04	11	21	321.767333984375	349.25689697265625	129.15354919433594	138.53041076660156
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png	20Hz	0.09	283.30156860351565	285.6449676513672	2018-07-09 18:02:13	2018-07-09 18:02:15	11	20	433.01568603515625	456.4496765136719	130.18722534179688	138.72543334960938
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png	40Hz	0.08	282.25799560546875	283.9008056640625	2018-07-09 18:02:12	2018-07-09 18:02:13	51	65	422.5799560546875	439.008056640625	84.90547180175781	99.16809844970703
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png	D	0.99	343.75530395507815	347.1846527099609	2018-07-09 18:03:13	2018-07-09 18:03:17	47	84	437.55303955078125	471.8465270996094	66.39993286132812	102.87240600585938
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png	A	0.91	316.16815490722655	331.0157470703125	2018-07-09 18:02:46	2018-07-09 18:03:01	72	87	161.68154907226562	310.157470703125	63.38969802856445	78.00682067871094
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png	D	0.5	306.0917083740234	308.32945709228517	2018-07-09 18:02:36	2018-07-09 18:02:38	56	100	60.917083740234375	83.29457092285156	50.34952926635742	93.60411834716797
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png	B	0.1	358.3754638671875	360.08824462890624	2018-07-09 18:03:28	2018-07-09 18:03:30	30	55	583.754638671875	600.8824462890625	95.23007202148438	120.32618713378906
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png	B	0.09	300.1097203016281	301.9737714767456	2018-07-09 18:02:30	2018-07-09 18:02:31	9	60	1.097203016281128	19.737714767456055	90.04257202148438	141.0
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_360_to_420.png	B	0.09	362.850297164917	381.3289260864258	2018-07-09 18:03:32	2018-07-09 18:03:51	16	48	28.502971649169922	213.2892608642578	101.53877258300781	133.82986450195312
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_420_to_480.png	D	0.99	429.88257217407227	433.19064178466795	2018-07-09 18:04:39	2018-07-09 18:04:43	40	99	98.82572174072266	131.9064178466797	51.448448181152344	110.25479125976562
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	A	0.98	515.4826416015625	531.8128601074219	2018-07-09 18:06:05	2018-07-09 18:06:21	72	90	354.826416015625	518.1286010742188	60.417022705078125	78.32041931152344
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.96	530.3827453613281	533.8029968261719	2018-07-09 18:06:20	2018-07-09 18:06:23	44	70	503.82745361328125	538.0299682617188	79.58892059326172	106.1885757446289
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.85	506.1097045898438	508.9059753417969	2018-07-09 18:05:56	2018-07-09 18:05:58	51	82	261.0970458984375	289.05975341796875	67.64131927490234	99.380859375
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.69	492.1716644287109	495.41131591796875	2018-07-09 18:05:42	2018-07-09 18:05:45	38	65	121.71664428710938	154.1131591796875	85.42708587646484	112.31880950927734
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	B	0.1	533.4947265625	539.9040649414062	2018-07-09 18:06:23	2018-07-09 18:06:29	17	42	534.947265625	599.0406494140625	107.95809936523438	133.22366333007812
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.99	594.5445983886718	598.7913635253906	2018-07-09 18:07:24	2018-07-09 18:07:28	39	79	545.4459838867188	587.9136352539062	71.28773498535156	111.10565948486328
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.99	563.3140625	568.0350036621094	2018-07-09 18:06:53	2018-07-09 18:06:58	28	80	233.140625	280.35003662109375	69.52887725830078	122.10720825195312
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.94	578.1183929443359	581.6921600341797	2018-07-09 18:07:08	2018-07-09 18:07:11	27	81	381.1839294433594	416.9216003417969	68.79190063476562	122.98455810546875
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	B	0.24	540.0438031464815	542.9205921173095	2018-07-09 18:06:30	2018-07-09 18:06:32	16	56	0.43803146481513977	29.205921173095703	93.62967681884766	134.1921844482422
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	B	0.06	588.391748046875	594.6334045410156	2018-07-09 18:07:18	2018-07-09 18:07:24	20	57	483.91748046875	546.3340454101562	92.73456573486328	130.16883850097656
